Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
Tiago Volpi (GOL),,1518,4,708,400,-110,,,,2.0,,,,,,1.0,,,,,3.0,,,,,27.0,2020,5
Nenê (MEI),,1261,4,690,0,0,3.0,3.0,,,9.0,3.0,2.0,,,,,,1.0,,,4.0,,,,47.0,2020,5
Fernando Sobral (MEI),,1283,5,680,1140,192,23.0,,2.0,,8.0,6.0,3.0,,,,,,1.0,,,13.0,,,,29.0,2020,5
Araos (MEI),,910,4,675,400,-32,7.0,1.0,2.0,,7.0,3.0,2.0,,,,,,1.0,,,3.0,,,,28.0,2020,5
Cano (ATA),,1135,4,637,30,-119,1.0,3.0,,,1.0,2.0,2.0,,,,,,,,,2.0,4.0,,,10.0,2020,5
Matheus Galdezani (MEI),,1190,5,618,1060,165,21.0,,,,13.0,3.0,4.0,1.0,,,,,1.0,,,3.0,,,,33.0,2020,5
Leandro Castan (ZAG),,1579,4,615,780,51,10.0,,,3.0,5.0,,,,,,,,,,,3.0,,,,14.0,2020,5
Claudinho (ATA),,1400,5,604,790,95,11.0,1.0,1.0,,8.0,3.0,4.0,,,,,,,,,1.0,,,,45.0,2020,5
Ricardo (ZAG),,941,4,595,1080,186,9.0,,,3.0,3.0,2.0,1.0,,,,,,1.0,,,3.0,,,,10.0,2020,5
Egídio (LAT),,1062,5,584,780,87,28.0,,,1.0,6.0,,2.0,,,,,,,,,5.0,,,,67.0,2020,5
Luciano (ATA),,729,3,583,730,62,4.0,1.0,1.0,,6.0,1.0,,,,,,,,,,5.0,,,,8.0,2020,5
Felipe Jonatan (LAT),,1065,5,582,210,-125,19.0,1.0,,1.0,9.0,4.0,,,,,,,1.0,,,8.0,,,,46.0,2020,5
Ramon Menezes (TEC),,961,4,568,494,3,,,,,,,,,,,,,,,,,,,,,2020,5
Jô (ATA),,1248,4,560,60,-127,,2.0,1.0,,3.0,3.0,4.0,,,,,,,1.0,,3.0,,,,18.0,2020,5
Fernando Miguel (GOL),,1057,4,538,1200,242,,,,3.0,1.0,,,,,,,,,,1.0,,,,,40.0,2020,5
Arrascaeta (MEI),,1785,4,537,0,0,7.0,1.0,,,3.0,3.0,4.0,1.0,,,,,,,,3.0,,,,37.0,2020,5
Pedro Raul (ATA),,770,2,530,940,210,2.0,1.0,,,2.0,2.0,,,,,,,,,,2.0,,,,10.0,2020,5
Guilherme Santos (LAT),,778,4,530,230,-18,12.0,,1.0,1.0,5.0,2.0,,,,,,,,,,7.0,,,,14.0,2020,5
Élber (ATA),,856,4,528,70,-124,6.0,,1.0,,10.0,2.0,4.0,1.0,,,,,,,,2.0,1.0,,,28.0,2020,5
Edson (MEI),,781,4,518,630,79,17.0,,1.0,,9.0,1.0,1.0,,,,,,1.0,,,9.0,,,,13.0,2020,5
Talles Magno (ATA),,909,4,500,130,-82,7.0,,2.0,,9.0,1.0,2.0,,,,,,,,,5.0,1.0,,,17.0,2020,5
Víctor Cuesta (ZAG),,1276,5,492,750,84,11.0,,,4.0,5.0,,,,,,,,1.0,,,7.0,,,,34.0,2020,5
Luiz Adriano (ATA),,1177,4,490,700,120,4.0,2.0,,,2.0,4.0,1.0,,,,,,1.0,,,6.0,,,,8.0,2020,5
Eduardo Coudet (TEC),,1247,5,489,522,28,,,,,,,,,,,,,,,,,,,,,2020,5
Gustavo Gómez (ZAG),,1292,3,483,220,-48,5.0,1.0,,1.0,,,,,,,,,,,,4.0,1.0,,,10.0,2020,5
Rodriguinho (MEI),,1493,4,470,320,-43,1.0,1.0,1.0,,12.0,2.0,2.0,,,,,,,,,3.0,1.0,,,32.0,2020,5
Gatito Fernández (GOL),,1293,4,468,130,-123,,,,1.0,,,,,,,,,,,3.0,,,,,43.0,2020,5
Romarinho (ATA),,905,5,458,920,175,5.0,1.0,,,9.0,8.0,2.0,,,,,,,,,3.0,,,,19.0,2020,5
Henrique (LAT),,801,4,455,500,41,13.0,,,3.0,2.0,,,,,,,,2.0,,,10.0,,,,18.0,2020,5
Patrick (MEI),,1170,5,452,1080,181,10.0,,1.0,,8.0,2.0,4.0,2.0,,,,,,,,10.0,1.0,,,33.0,2020,5
Dodi (MEI),,992,5,448,200,-45,21.0,,,,7.0,3.0,2.0,,,,,,1.0,,,6.0,,,,19.0,2020,5
Léo Natel (ATA),,446,3,437,360,-61,6.0,1.0,,,3.0,2.0,2.0,,,,,,1.0,,,6.0,,,,14.0,2020,5
Benítez (MEI),,868,4,428,270,-23,19.0,,,,7.0,2.0,1.0,,,,,,1.0,,,6.0,,,,32.0,2020,5
Cuca (TEC),,985,5,426,160,-91,,,,,,,,,,,,,,,,,,,,,2020,5
Sidcley (LAT),,752,4,417,-20,-68,11.0,,,1.0,8.0,1.0,1.0,,,,,,,,,4.0,1.0,,,28.0,2020,5
Moisés (LAT),,1085,5,416,380,4,12.0,,,4.0,,3.0,1.0,,,,,,1.0,,,14.0,1.0,,,53.0,2020,5
Tiago Nunes (TEC),,971,4,414,286,-32,,,,,,,,,,,,,,,,,,,,,2020,5
Juninho (ZAG),,909,4,413,340,58,3.0,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,17.0,2020,5
Viña (LAT),,740,2,410,0,0,7.0,,,,3.0,1.0,,,,,,,,,,,,,,11.0,2020,5
Fernando Diniz (TEC),,879,4,406,486,45,,,,,,,,,,,,,,,,,,,,,2020,5
Aderlan (LAT),,1015,5,398,240,-55,25.0,,,,5.0,3.0,1.0,,,,,,,,,12.0,,,,52.0,2020,5
Nino Paraíba (LAT),,815,3,397,0,-124,8.0,,,1.0,2.0,1.0,,,,,,,,,,1.0,,,,24.0,2020,5
Gabriel Lacerda (ZAG),,389,3,380,1270,315,2.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,13.0,2020,5
Ernando (ZAG),,633,4,378,20,-15,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,19.0,2020,5
1234,1234.0,1234,1234,1234,1234,1234,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,1234.0,2020,5
Marinho (ATA),,2172,6,1092,690,65,9.0,3.0,2.0,,32.0,8.0,7.0,,,,,,1.0,,,7.0,2.0,,,18.0,2020,6
Saravia (LAT),,2041,5,978,660,6,26.0,,1.0,4.0,11.0,1.0,1.0,,,,,,1.0,,,9.0,,,,31.0,2020,6
João Paulo (GOL),,781,4,908,550,27,,,,1.0,2.0,,,,,,,,,,4.0,,,,,17.0,2020,6
Hernanes (MEI),,984,1,890,890,-16,1.0,1.0,,,2.0,1.0,,,,,,,,,,2.0,,,,9.0,2020,6
Thiago Galhardo (MEI),,1627,6,832,1340,184,7.0,4.0,2.0,,9.0,3.0,2.0,,,,,,,,,10.0,1.0,,,29.0,2020,6
Reinaldo (LAT),,1492,4,758,0,0,12.0,1.0,1.0,2.0,8.0,1.0,2.0,,,,,,2.0,,,7.0,,,,44.0,2020,6
Fernando Sobral (MEI),,1256,6,667,600,-27,24.0,,3.0,,11.0,6.0,3.0,,,,,,1.0,,,13.0,1.0,,,39.0,2020,6
Alisson (MEI),,1121,5,656,0,0,12.0,,1.0,,9.0,4.0,10.0,1.0,,,,,,,,4.0,1.0,,,44.0,2020,6
Daniel Bessa (MEI),,882,4,642,0,0,11.0,2.0,,,2.0,1.0,2.0,1.0,,,,,2.0,,,6.0,,,,15.0,2020,6
Jorginho (TEC),,672,1,628,628,164,,,,,,,,,,,,,,,,,,,,,2020,6
Nenê (MEI),,1187,5,610,290,-74,4.0,3.0,,,11.0,5.0,2.0,,,,,,1.0,,,4.0,,,,54.0,2020,6
Gustavo Ferrareis (MEI),,914,4,598,50,-48,6.0,1.0,1.0,,12.0,5.0,2.0,,,,,,,,,7.0,2.0,,,30.0,2020,6
Matheus Galdezani (MEI),,1146,6,595,480,-44,25.0,,,,13.0,4.0,5.0,1.0,,,,,1.0,,,4.0,,,,40.0,2020,6
Dodi (MEI),,1272,6,595,1330,280,26.0,1.0,,,10.0,3.0,2.0,,,,,,1.0,,,8.0,,,,21.0,2020,6
Egídio (LAT),,1097,6,593,640,35,30.0,,1.0,1.0,6.0,1.0,2.0,,,,,,,,,6.0,,,,76.0,2020,6
Tiago Volpi (GOL),,1451,5,592,130,-67,,,,2.0,,,,,,1.0,,,,,4.0,,,,,34.0,2020,6
Pedro Geromel (ZAG),,1159,3,587,0,0,13.0,,,2.0,,2.0,,,,,,,1.0,,,5.0,,,,25.0,2020,6
Jefferson (LAT),,599,2,585,0,0,3.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,18.0,2020,6
Jorginho (MEI),,1061,5,584,0,-83,10.0,2.0,,,8.0,4.0,1.0,,,,,,,,,5.0,,,,27.0,2020,6
Fellipe Bastos (MEI),,1024,5,584,80,-11,14.0,3.0,,,,,1.0,1.0,,,,,1.0,,,17.0,,,,25.0,2020,6
Juninho Capixaba (LAT),,774,3,563,200,-77,7.0,,1.0,1.0,3.0,1.0,2.0,,,,,,,,,3.0,,,,33.0,2020,6
Romarinho (ATA),,1040,6,563,1090,135,7.0,2.0,,,9.0,8.0,3.0,,,,,,,,,3.0,,,,22.0,2020,6
Felipe Jonatan (LAT),,1100,6,547,370,35,22.0,1.0,,1.0,10.0,4.0,1.0,,,,,,1.0,,,9.0,,,,51.0,2020,6
Araos (MEI),,842,5,546,30,-68,7.0,1.0,2.0,,9.0,3.0,2.0,,,,,,1.0,,,4.0,,,,30.0,2020,6
Wellington Paulista (ATA),,1018,6,545,1670,330,1.0,3.0,1.0,,6.0,1.0,3.0,,,,,,,,,5.0,2.0,,,12.0,2020,6
Carlinhos (MEI),,519,2,545,590,69,5.0,,1.0,,1.0,1.0,1.0,,,,,,,,,2.0,,,,6.0,2020,6
Ricardo (ZAG),,859,5,538,310,-82,11.0,,,3.0,4.0,3.0,1.0,,,,,,1.0,,,3.0,,,,12.0,2020,6
Leandro Castan (ZAG),,1487,5,538,230,-92,13.0,,,3.0,6.0,,,,,,,,,,,5.0,,,,16.0,2020,6
Matheus Babi (ATA),,704,5,532,110,-69,11.0,1.0,1.0,,19.0,5.0,2.0,,,,,,2.0,,,11.0,3.0,,,23.0,2020,6
Edson (MEI),,819,5,524,550,38,21.0,,1.0,,12.0,2.0,1.0,,,,,,1.0,,,10.0,,,,16.0,2020,6
Moisés (LAT),,1268,6,522,1050,183,15.0,,1.0,5.0,,3.0,1.0,,,,,,1.0,,,17.0,1.0,,,63.0,2020,6
Cano (ATA),,1107,5,520,50,-28,1.0,3.0,,,1.0,2.0,3.0,,,,,,,,,3.0,4.0,,,12.0,2020,6
Wilson (GOL),,1013,6,515,1260,323,1.0,,,1.0,1.0,,,,,1.0,,,,,7.0,,,,,46.0,2020,6
Ronaldo Henrique (MEI),,433,1,510,510,33,5.0,,,,2.0,,,,,,,,,,,1.0,,,,4.0,2020,6
Ramon Menezes (TEC),,937,5,507,264,-24,,,,,,,,,,,,,,,,,,,,,2020,6
Kannemann (ZAG),,1214,4,505,0,0,12.0,,,3.0,7.0,1.0,,,,,,,2.0,,,12.0,,,,11.0,2020,6
Calegari (LAT),,286,2,505,-20,-144,6.0,,,1.0,5.0,1.0,,,,,,,,,,5.0,1.0,,,12.0,2020,6
Eduardo Coudet (TEC),,1286,6,503,572,39,,,,,,,,,,,,,,,,,,,,,2020,6
Boschilia (MEI),,912,5,502,1410,255,19.0,1.0,,,7.0,3.0,3.0,,,,,,1.0,,,12.0,,,,34.0,2020,6
Victor Andrade (ATA),,689,4,497,0,0,7.0,1.0,,,21.0,7.0,,,,,,,2.0,,,12.0,,,,12.0,2020,6
Bruno Cortez (LAT),,1142,5,494,0,0,16.0,,,3.0,4.0,1.0,,,,,,,1.0,,,6.0,1.0,,,36.0,2020,6
Víctor Cuesta (ZAG),,1258,6,487,460,-18,11.0,,,5.0,6.0,,,,,,,,1.0,,,8.0,,,,38.0,2020,6
Guilherme Arana (LAT),,1649,5,482,0,0,9.0,,1.0,2.0,1.0,5.0,4.0,,,,,,,,,5.0,1.0,,,62.0,2020,6
Élber (ATA),,886,5,474,260,30,7.0,,1.0,,14.0,3.0,4.0,1.0,,,,,,,,3.0,1.0,,,35.0,2020,6
Jean Pyerre (MEI),,1273,3,473,0,0,7.0,,,,4.0,5.0,1.0,1.0,,,,,,,,2.0,,,,20.0,2020,6
Jô (ATA),,1228,5,472,120,-20,,2.0,1.0,,5.0,3.0,5.0,,,,,,,1.0,,4.0,,,,23.0,2020,6
Gabriel Lacerda (ZAG),,406,4,465,720,17,4.0,,1.0,2.0,2.0,,1.0,,,,,,,,,2.0,,,,16.0,2020,6
Sabino (ZAG),,833,6,460,1620,315,7.0,2.0,,1.0,4.0,1.0,,1.0,,,,,,,,4.0,1.0,,,37.0,2020,6
Luciano (ATA),,637,4,457,80,-92,7.0,1.0,1.0,,7.0,1.0,,,,,,,1.0,,,6.0,,,,10.0,2020,6
Cléber (ATA),,1138,6,455,250,-63,3.0,3.0,,,4.0,5.0,3.0,,,,,,,,,12.0,2.0,,,23.0,2020,6
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,6
Renato Kayzer (ATA),,573,1,1140,1140,173,1.0,1.0,,,5.0,1.0,1.0,,,,,,,,,3.0,1.0,,,1.0,2020,7
Marinho (ATA),,2276,7,1100,1150,104,12.0,4.0,2.0,,36.0,9.0,7.0,,,,,,1.0,,,10.0,2.0,,,26.0,2020,7
Saravia (LAT),,2041,5,978,0,0,26.0,,1.0,4.0,11.0,1.0,1.0,,,,,,1.0,,,9.0,,,,31.0,2020,7
Thiago Galhardo (MEI),,1606,7,839,880,-21,7.0,5.0,2.0,,11.0,3.0,2.0,,,,,,,,,10.0,1.0,,,31.0,2020,7
Arrascaeta (MEI),,2143,6,755,2350,485,12.0,3.0,1.0,,4.0,4.0,4.0,1.0,,,,,,,,5.0,,,,62.0,2020,7
Claudinho (ATA),,1499,6,695,1150,99,15.0,2.0,1.0,,10.0,5.0,4.0,,,,,,1.0,,,1.0,,,,56.0,2020,7
Gabriel (ATA),,1371,6,680,0,0,3.0,3.0,,,8.0,10.0,8.0,1.0,,,,,2.0,,,3.0,3.0,,,38.0,2020,7
Fellipe Bastos (MEI),,1210,6,652,990,186,16.0,4.0,,,,,2.0,1.0,,,,,1.0,,,19.0,,,,28.0,2020,7
João Paulo (GOL),,588,5,644,-410,-193,,,,1.0,2.0,,,,,,,,,,6.0,,,,,18.0,2020,7
Erick (MEI),,454,1,640,640,54,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,3.0,2020,7
Cano (ATA),,1328,6,623,1140,221,1.0,4.0,,,2.0,2.0,3.0,1.0,,,,,,,,3.0,4.0,,,13.0,2020,7
Fernando Sobral (MEI),,1212,7,619,330,-44,26.0,,3.0,,16.0,7.0,4.0,,,,,,1.0,,,16.0,3.0,,,46.0,2020,7
Wilson (GOL),,1106,7,616,1220,93,1.0,,,2.0,2.0,,,,,1.0,,,,,7.0,,,,,59.0,2020,7
Nenê (MEI),,1240,6,603,570,53,5.0,3.0,1.0,,12.0,5.0,2.0,,,,,,1.0,,,4.0,,,,62.0,2020,7
Élber (ATA),,1111,6,600,1230,225,8.0,1.0,1.0,,17.0,5.0,5.0,1.0,,,,,,,,3.0,2.0,,,40.0,2020,7
Júnior Alonso (ZAG),,1284,6,587,1280,207,17.0,,1.0,3.0,,4.0,,1.0,,,,,1.0,,,6.0,,,,30.0,2020,7
Dodi (MEI),,1173,7,580,490,-99,30.0,1.0,,,12.0,3.0,3.0,,,,,,1.0,,,10.0,,,,24.0,2020,7
Isla (LAT),,996,2,575,870,152,2.0,,2.0,1.0,,,,,,,,,1.0,,,4.0,1.0,,,10.0,2020,7
Alisson (MEI),,1009,6,573,160,-112,13.0,,1.0,,11.0,5.0,10.0,1.0,,,,,,,,4.0,1.0,,,56.0,2020,7
Hernanes (MEI),,885,2,560,230,-99,3.0,1.0,,,3.0,1.0,2.0,,,,,,,,,6.0,,,,15.0,2020,7
Matheus Galdezani (MEI),,1116,7,554,310,-30,28.0,,,,16.0,4.0,5.0,1.0,,,,,1.0,,,5.0,,,,49.0,2020,7
Jorge Sampaoli (TEC),,1461,6,548,1021,145,,,,,,,,,,,,,,,,,,,,,2020,7
Daniel Bessa (MEI),,743,5,546,160,-139,12.0,2.0,,,4.0,2.0,2.0,1.0,,,,,2.0,,,7.0,,,,22.0,2020,7
Leandro Castan (ZAG),,1487,5,538,0,0,13.0,,,3.0,6.0,,,,,,,,,,,5.0,,,,16.0,2020,7
Pedro Geromel (ZAG),,1114,4,535,380,-45,17.0,,,2.0,,2.0,,,,,,,1.0,,,5.0,,,,27.0,2020,7
Jorginho (TEC),,726,2,532,435,54,,,,,,,,,,,,,,,,,,,,,2020,7
Egídio (LAT),,1014,7,531,160,-83,34.0,,1.0,1.0,6.0,1.0,2.0,,,,,,,,,8.0,,,,90.0,2020,7
Paulinho Bóia (ATA),,613,4,527,900,132,8.0,,,,15.0,1.0,3.0,2.0,,,,,,,,5.0,1.0,,,18.0,2020,7
Guilherme Arana (LAT),,1683,6,525,740,34,10.0,,1.0,3.0,2.0,5.0,5.0,,,,,,,,,5.0,1.0,,,65.0,2020,7
Vinícius (MEI),,816,4,522,910,84,4.0,2.0,,,2.0,6.0,2.0,,,,,,1.0,,,4.0,1.0,,,28.0,2020,7
Gatito Fernández (GOL),,1435,6,520,900,116,,,,2.0,,,,,,,,,,,5.0,,,,,48.0,2020,7
Jair (MEI),,1046,6,512,2000,450,17.0,1.0,2.0,,11.0,,,,,,,,1.0,,,13.0,,,,13.0,2020,7
Sabino (ZAG),,784,7,506,780,-49,10.0,2.0,,2.0,5.0,1.0,,1.0,,,,,,,,4.0,1.0,,,44.0,2020,7
Rodriguinho (MEI),,1602,6,500,1080,193,1.0,2.0,1.0,,14.0,6.0,3.0,,,,,,,,,5.0,1.0,,,44.0,2020,7
Felipe Jonatan (LAT),,1045,7,489,140,-55,24.0,1.0,,1.0,11.0,4.0,1.0,,,,,,1.0,,,10.0,,,,57.0,2020,7
Luiz Adriano (ATA),,1239,6,488,970,188,5.0,3.0,,,7.0,4.0,1.0,,,,,,1.0,,,9.0,,,,11.0,2020,7
Romarinho (ATA),,874,7,488,40,-166,7.0,2.0,,,11.0,8.0,3.0,,,,,,,,,3.0,,,,28.0,2020,7
Edson (MEI),,793,6,488,310,-26,23.0,,1.0,,13.0,3.0,1.0,,,,,,1.0,,,10.0,,,,18.0,2020,7
Gustavo Ferrareis (MEI),,882,5,486,40,-32,7.0,1.0,1.0,,12.0,6.0,2.0,,,,,,,,,9.0,2.0,,,34.0,2020,7
Ygor Catatau (ATA),,265,1,480,480,65,1.0,,1.0,,2.0,,,,,,,,,,,4.0,,,,2.0,2020,7
Wellington Paulista (ATA),,787,7,477,70,-231,1.0,3.0,1.0,,9.0,1.0,3.0,,,,,,,,,6.0,2.0,,,15.0,2020,7
Gustavo Gómez (ZAG),,1377,5,476,850,139,8.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,8.0,1.0,,,13.0,2020,7
Jean Pyerre (MEI),,1285,4,470,460,12,8.0,,,,6.0,8.0,2.0,1.0,,,,,,,,3.0,,,,25.0,2020,7
Ramon Menezes (TEC),,927,6,464,247,-10,,,,,,,,,,,,,,,,,,,,,2020,7
Kannemann (ZAG),,1110,5,458,270,-104,14.0,,,3.0,8.0,1.0,2.0,,,,,,2.0,,,16.0,,,,13.0,2020,7
Jefferson (LAT),,564,3,457,200,-35,6.0,1.0,,1.0,2.0,,,,,,,,1.0,,,3.0,1.0,,,23.0,2020,7
Eduardo Coudet (TEC),,1202,7,455,164,-84,,,,,,,,,,,,,,,,,,,,,2020,7
Moisés (LAT),,1093,7,452,30,-175,17.0,,1.0,5.0,,4.0,1.0,,,,,,1.0,,,20.0,1.0,,,73.0,2020,7
Luciano (ATA),,700,5,448,410,63,8.0,1.0,1.0,,7.0,1.0,1.0,1.0,,,,,1.0,,,7.0,,,,16.0,2020,7
Boschilia (MEI),,723,6,435,100,-189,19.0,1.0,,,8.0,3.0,4.0,,,,,,1.0,,,13.0,,,,36.0,2020,7
12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,7
Marinho (ATA),,2320,8,1084,970,44,12.0,4.0,3.0,,43.0,11.0,8.0,,,,,,1.0,,,11.0,3.0,,,32.0,2020,8
Thiago Galhardo (MEI),,1817,8,922,1500,211,8.0,6.0,3.0,,15.0,3.0,2.0,,,,,,,,,10.0,2.0,,,36.0,2020,8
Saravia (LAT),,1930,6,858,260,-111,30.0,,1.0,4.0,12.0,1.0,1.0,,,,,,1.0,,,11.0,,,,40.0,2020,8
João Paulo (GOL),,1006,6,803,1600,418,,,,2.0,2.0,,,,,,,,,,6.0,,,,,28.0,2020,8
Arrascaeta (MEI),,1879,7,694,330,-264,15.0,3.0,1.0,,7.0,5.0,4.0,1.0,,,,,,,,6.0,,,,77.0,2020,8
Claudinho (ATA),,1482,7,691,670,-17,15.0,3.0,1.0,,11.0,6.0,4.0,,,,,,1.0,,,4.0,,,,67.0,2020,8
Guga (LAT),,1456,6,663,1050,163,14.0,,1.0,4.0,6.0,2.0,2.0,1.0,,,,,1.0,,,6.0,,,,42.0,2020,8
Cano (ATA),,1366,7,661,890,38,2.0,5.0,,,2.0,2.0,3.0,1.0,,,,,,,,3.0,4.0,,,14.0,2020,8
Felipe Jonatan (LAT),,1369,8,620,1540,324,29.0,2.0,,2.0,13.0,4.0,1.0,,,,,,2.0,,,12.0,,,,63.0,2020,8
Fernando Sobral (MEI),,1286,8,613,570,74,31.0,,3.0,,20.0,7.0,5.0,,,,,,1.0,,,19.0,3.0,,,56.0,2020,8
Talles Magno (ATA),,1124,6,610,840,53,16.0,1.0,2.0,,18.0,3.0,2.0,,,,,1.0,,,,6.0,1.0,,,27.0,2020,8
Renato Kayzer (ATA),,430,2,605,70,-143,1.0,1.0,,,7.0,3.0,1.0,,,,,,,,,6.0,1.0,,,5.0,2020,8
Kalou (ATA),,896,2,600,820,126,2.0,1.0,,,4.0,2.0,1.0,,,,,,,,,3.0,,,,13.0,2020,8
Igor Rabello (ZAG),,1349,5,594,780,106,6.0,1.0,,3.0,5.0,,,1.0,,,,,,,,6.0,,,,18.0,2020,8
Alisson (MEI),,1142,7,594,720,133,14.0,,2.0,,14.0,7.0,10.0,1.0,,,,,,,,5.0,1.0,,,70.0,2020,8
Reinaldo (LAT),,1313,5,594,-60,-179,15.0,1.0,1.0,2.0,8.0,1.0,2.0,,,,,,2.0,,,12.0,,,,55.0,2020,8
Nenê (MEI),,1259,7,585,480,19,6.0,3.0,1.0,,17.0,6.0,4.0,,,,,,1.0,,,5.0,,,,76.0,2020,8
Fellipe Bastos (MEI),,1101,7,582,160,-109,16.0,4.0,,,1.0,1.0,3.0,1.0,,,,,1.0,,,20.0,,,,32.0,2020,8
Edson (MEI),,1006,7,581,1140,213,27.0,1.0,1.0,,14.0,3.0,1.0,,,,,,1.0,,,12.0,,,,19.0,2020,8
Hyoran (MEI),,1279,7,557,180,-75,11.0,2.0,1.0,,12.0,8.0,6.0,,,,,,1.0,,,10.0,1.0,,,51.0,2020,8
Júnior Alonso (ZAG),,1183,7,556,370,-101,19.0,,1.0,4.0,,4.0,,1.0,,,,,2.0,,,7.0,,,,38.0,2020,8
Wilson (GOL),,951,8,549,80,-155,1.0,,,2.0,2.0,,,,,1.0,,,,,8.0,,,,,71.0,2020,8
Luciano (ATA),,879,6,548,1050,179,10.0,2.0,1.0,,8.0,2.0,1.0,1.0,,,,,1.0,,,8.0,,,,19.0,2020,8
Rodriguinho (MEI),,1616,7,540,780,14,1.0,3.0,1.0,,15.0,6.0,3.0,,,,,,,,,5.0,1.0,,,51.0,2020,8
Jorge Sampaoli (TEC),,1416,7,538,478,-45,,,,,,,,,,,,,,,,,,,,,2020,8
Élber (ATA),,942,7,519,30,-169,8.0,1.0,1.0,,20.0,5.0,5.0,1.0,,,,,,,,3.0,3.0,,,47.0,2020,8
Matheus Galdezani (MEI),,1124,8,518,270,8,30.0,,,,19.0,4.0,5.0,1.0,,,,,1.0,,,6.0,,,,52.0,2020,8
Dodi (MEI),,1112,8,518,80,-61,31.0,1.0,,,13.0,3.0,3.0,,,,,,1.0,,,11.0,,,,26.0,2020,8
Vinícius (MEI),,796,5,514,480,-20,5.0,2.0,,,2.0,6.0,4.0,1.0,,,,,1.0,,,4.0,1.0,,,44.0,2020,8
Jô (ATA),,1395,7,503,1010,196,,3.0,1.0,,8.0,5.0,5.0,1.0,,,,,,1.0,,7.0,1.0,,,28.0,2020,8
Egídio (LAT),,1043,8,498,270,29,38.0,,1.0,1.0,6.0,1.0,3.0,,,,,,,,,11.0,,,,100.0,2020,8
Ramon Menezes (TEC),,1040,7,496,685,113,,,,,,,,,,,,,,,,,,,,,2020,8
Erick (MEI),,441,2,490,340,-13,5.0,,1.0,,,,2.0,,,,,,,,,3.0,,,,11.0,2020,8
Benítez (MEI),,1042,7,477,830,117,26.0,,1.0,,16.0,4.0,2.0,,,,,,1.0,,,7.0,1.0,,,52.0,2020,8
Gabriel Lacerda (ZAG),,420,5,472,0,0,4.0,,1.0,3.0,2.0,,1.0,,,,,,,,,2.0,,,,16.0,2020,8
Jair (MEI),,819,7,470,220,-227,21.0,1.0,2.0,,14.0,1.0,,,,,,,2.0,,,16.0,,,,19.0,2020,8
Daniel Bessa (MEI),,722,6,462,40,-21,13.0,2.0,,,4.0,2.0,2.0,1.0,,,,,2.0,,,7.0,,,,28.0,2020,8
Calegari (LAT),,406,4,460,360,16,13.0,,,1.0,8.0,1.0,1.0,,,,,,,,,5.0,1.0,,,26.0,2020,8
Patrick (MEI),,1247,8,458,1190,271,18.0,1.0,1.0,,13.0,3.0,4.0,2.0,,,,,,,,16.0,2.0,,,51.0,2020,8
Sabino (ZAG),,693,8,454,90,-91,11.0,2.0,,2.0,6.0,1.0,,1.0,,,,,,,,4.0,1.0,,,50.0,2020,8
Luiz Adriano (ATA),,1140,7,447,200,-99,5.0,3.0,,,10.0,5.0,1.0,,,,,,1.0,,,9.0,,,,14.0,2020,8
Romarinho (ATA),,891,8,445,140,17,9.0,2.0,,,11.0,8.0,3.0,,,,,,,,,3.0,1.0,,,29.0,2020,8
Gatito Fernández (GOL),,1280,7,436,-70,-155,,,,2.0,,,,,,,,,,,7.0,,,,,55.0,2020,8
Fernando Prass (GOL),,626,8,436,560,72,,,,3.0,,,,,,,,,1.0,,10.0,,,,,61.0,2020,8
Eduardo Coudet (TEC),,1232,8,435,293,30,,,,,,,,,,,,,,,,,,,,,2020,8
Zé Rafael (MEI),,1093,6,433,690,160,11.0,1.0,1.0,,18.0,3.0,1.0,,,,,,1.0,,,13.0,,,,21.0,2020,8
Cuca (TEC),,1082,8,416,565,63,,,,,,,,,,,,,,,,,,,,,2020,8
Viña (LAT),,746,4,412,450,43,16.0,,,,6.0,2.0,,,,,,,,,,2.0,1.0,,,26.0,2020,8
Hernanes (MEI),,866,3,410,110,-19,3.0,1.0,,,5.0,2.0,2.0,,,,,,,,,7.0,,,,17.0,2020,8
Cléber (ATA),,1140,8,405,310,31,7.0,3.0,,,5.0,8.0,3.0,,,,,,,,,15.0,2.0,,,26.0,2020,8
